relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
11490,5.580602613881195,5.142000198364258,,
11513,8.009481057109706,6.252000331878662,9.787050247192383,12.586050987243652
11528,,,,12.394950866699219
11529,8.373525461232106,4.666050434112549,10.773000717163086,
11553,9.459141454469536,3.1410000324249268,11.407050132751465,12.868950843811035
11569,10.068253856442707,2.7679500579833984,12.475050926208496,12.631950378417969
11589,,,13.558950424194336,12.381000518798828
11590,10.789855176574212,2.1670501232147217,,
11609,12.297855246031471,0.5590500235557556,13.867051124572754,13.612950325012207
11629,13.418036412675105,-0.32505002617836,14.164051055908203,14.611050605773926
11649,13.214437877117707,-0.24105000495910645,14.04900074005127,14.628000259399414
11669,12.831576404609986,0.49500003457069397,13.812000274658203,14.860051155090332
11689,,,,14.233050346374512
11691,11.252848285809998,2.6509501934051514,13.171051025390625,
11715,,,12.22095012664795,13.294950485229492
11716,9.64336911411638,4.785000324249268,,
11729,6.85246940708951,5.008050441741943,10.302000045776367,11.212950706481934
11749,4.320014708811833,4.981950283050537,8.682000160217285,9.05505084991455
11769,2.7317964439294657,4.261050224304199,6.889950275421143,7.444050312042236
11790,3.0788904777690096,3.664950132369995,5.272050380706787,6.883950233459473
11809,3.995804255077751,4.35705041885376,4.176000118255615,5.767050266265869
11829,4.604989969281964,5.898000240325928,3.8770501613616943,5.419950485229492
11849,5.884957498738872,6.256950378417969,2.8620002269744873,4.254000186920166
11869,,,,2.3519999980926514
11870,6.7408164388453,6.168000221252441,2.428950071334839,
11890,,,,0.909000039100647
11891,8.000204083700575,5.896050453186035,1.5390000343322754,
11911,,,,-0.45900002121925354
11913,9.106033471333975,6.343050479888916,1.180050015449524,
11929,9.819231773518247,6.6160502433776855,0.8620500564575195,-1.1569499969482422
11949,9.886116048648415,5.485950469970703,0.6349500417709351,-1.6140000820159912
11970,10.208740932086435,4.843050003051758,0.5989500284194946,-2.410950183868408
11989,,,,-3.2989501953125
11992,,,0.8550000190734863,
11993,10.423350720107955,3.973950147628784,,
12010,10.00604523086466,,1.3840500116348267,-3.3450002670288086
12012,,3.550950050354004,,
12029,,,,-3.1030502319335938
12030,9.266228127108315,4.24500036239624,2.212050199508667,
12049,8.494697263104605,5.48205041885376,2.9509501457214355,-2.5000500679016113
12071,,,,-0.906000018119812
12072,7.023122201192349,6.630000114440918,4.000950336456299,
12097,4.936058510036318,7.413000583648682,5.047050476074219,1.0530000925064087
12109,3.013627888228083,6.216000080108643,5.683950424194336,2.4790501594543457
12129,,,,3.0480000972747803
12130,1.7583605102801156,5.295000076293945,6.313050270080566,
12149,,,6.9970502853393555,3.1110000610351562
12150,1.2473188255712777,5.44605016708374,,
12169,,,,4.361999988555908
12170,0.15286292351943154,5.3020501136779785,6.913950443267822,
12189,,,,5.575050354003906
12190,1.1885967711040064,4.941000461578369,7.45395040512085,
12210,3.8382556382560673,,8.47095012664795,7.594950199127197
12211,,3.634050130844116,,
12229,,,,10.80405044555664
12230,6.759946488388714,4.278000354766846,9.430950164794922,
12253,9.08204553090275,4.71405029296875,10.279950141906738,13.02405071258545
12269,9.836283440600322,3.7350001335144043,11.209050178527832,13.051050186157227
12290,,,,11.629050254821777
12291,9.818741483824283,2.1889500617980957,11.998950958251953,
12310,11.026986051805759,0.9300000667572021,12.939001083374023,11.578950881958008
12332,,,,11.938050270080566
12333,11.694199544155026,0.5809500217437744,13.297950744628906,
12353,11.783601804387953,0.4020000100135803,13.623001098632812,11.51400089263916
12371,11.843556747269009,0.6840000152587891,13.473000526428223,12.06705093383789
12390,11.43973173453832,1.01895010471344,12.901050567626953,12.357000350952148
12410,10.956107567461409,1.15500009059906,12.160950660705566,12.531000137329102
12431,10.361528958055988,1.4710500240325928,11.524950981140137,12.541050910949707
12450,,,11.118000984191895,11.854050636291504
12451,9.12297767281343,2.464050054550171,,
12472,7.160934580753005,3.7300500869750977,10.608000755310059,10.32300090789795
12491,5.354231342959117,5.104050159454346,9.8860502243042,8.968050003051758
12510,,,,7.600050449371338
12511,3.5550023201506993,5.122950077056885,8.766000747680664,
12530,2.299462035746429,4.3309502601623535,7.44195032119751,6.604050159454346
12550,2.178319358090103,3.2539501190185547,6.1840500831604,5.773950099945068
12570,2.6224479076641094,3.20805025100708,5.422950267791748,5.254950046539307
12590,2.8891761241663056,5.038950443267822,5.104950428009033,4.441050052642822
12610,4.284200723499472,6.195000171661377,4.678950309753418,2.5309500694274902
12630,5.891561661377605,6.223050117492676,3.954000234603882,0.5500500202178955
12650,7.143908123625932,5.460000038146973,3.2760002613067627,-0.9850500226020813
12671,7.832817818202114,4.855050086975098,2.587050199508667,-1.3819500207901
12696,8.11927523305243,5.404950141906738,2.0490000247955322,-0.8940000534057617
12710,7.9196119217246155,5.2230000495910645,1.6680001020431519,0.08595000207424164
12731,8.07446631212156,5.182950019836426,1.3759500980377197,0.30105000734329224
12751,8.531923372292091,4.960050106048584,1.3120501041412354,-0.6840000152587891
12771,8.793478925115208,4.483950138092041,1.489050030708313,-1.5979501008987427
12791,8.592134968981535,4.282950401306152,2.0779500007629395,-2.074050188064575
12813,7.438606500461035,5.070000171661377,3.274050235748291,-1.5589500665664673
12831,6.097322170140297,5.94795036315918,4.176000118255615,-0.322050005197525
12850,,,,1.1290500164031982
12852,4.852553900567221,6.877050399780273,5.152050018310547,
12870,,,,2.4240000247955322
12871,3.195658993763093,7.150050163269043,6.355950355529785,
12890,,,,3.649050235748291
12891,1.1526917530170195,5.995950222015381,7.219950199127197,
12910,1.374020704579838,5.611050128936768,8.317950248718262,4.89300012588501
12931,2.8451509483263284,4.953000068664551,9.070050239562988,6.303000450134277
12951,4.449328065354846,4.417050361633301,9.844950675964355,7.546950340270996
12971,4.888314673388911,4.342950344085693,10.342950820922852,7.498950481414795
12990,,,,7.606950283050537
